repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
1,baseline,10,0.3,"[6, 6, 7]",1.0571374258993367,340.3841579338946,23.88066889709531,"(5, 5, 6)",150.0
1,baseline,10,0.3,"[7, 7, 9]",0.5173040376994202,336.6341662068324,4.098288455929432,"(6, 6, 7)",252.0
1,baseline,10,0.3,"[8, 8, 9]",0.19715400692105686,322.5538058769001,0.7112225402273076,"(7, 7, 7)",343.0
1,baseline,10,0.3,"[9, 9, 11]",0.6026610773976088,684.0713997647315,6.056850806298326,"(8, 8, 9)",576.0
1,baseline,10,0.3,"[10, 10, 11]",1.0917816844515396,767.8363744220529,24.465718848362044,"(8, 8, 9)",576.0
2,clean,0,0.0,"[2, 2, 3]",,inf,,None,
2,clean,0,0.0,"[3, 3, 4]",0.06392584861809286,-143.83948367077596,0.06738554648882132,"(3, 3, 2)",18.0
2,clean,0,0.0,"[4, 4, 5]",0.08461787873620197,-95.08822502287023,0.13070613101557788,"(3, 3, 3)",27.0
2,clean,0,0.0,"[5, 5, 6]",0.17785249743710052,40.597249332464536,0.5185532735235598,"(4, 4, 5)",80.0
2,clean,0,0.0,"[6, 6, 7]",1.555832024406682,421.5061518082266,55.98604874463353,"(5, 6, 6)",180.0
2,clean,0,0.0,"[7, 7, 9]",24.69966259741223,807.2107920046643,10441.183322470002,"(6, 6, 7)",252.0
2,clean,0,0.0,"[8, 8, 9]",16.67612714592413,855.7771301448979,5147.598130368626,"(7, 7, 7)",343.0
2,clean,0,0.0,"[9, 9, 11]",88.5555006315405,1281.5411480191187,127901.93719894787,"(8, 8, 9)",576.0
2,clean,0,0.0,"[10, 10, 11]",4.463978021915452,1089.2191721264858,404.9051607816568,"(9, 9, 9)",729.0
2,baseline,2,0.1,"[2, 2, 3]",0.1330788547182597,-56.42878379683995,0.34170309464747634,"(2, 2, 2)",8.0
2,baseline,2,0.1,"[3, 3, 4]",0.0829040958760169,-108.76659125488041,0.12090181356761018,"(2, 3, 3)",18.0
2,baseline,2,0.1,"[4, 4, 5]",0.08935127193346606,-76.71279624064789,0.15281204084529926,"(3, 3, 4)",36.0
