repeat,method,mode,amplitude,pi_s,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
3,clean,none,0.0,0.0,60.77732672173554,0.75,0.8421052631578947,0.7171052631578947,31.0,97.91489876458081,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288283111135,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,baseline,hot_block,10.0,0.3,75.96763140441234,0.125,0.5789473684210527,0.7960526315789473,28.0,97.9148987740756,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831105921,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.3,75.91831495688109,0.125,0.5789473684210527,0.7960526315789473,28.0,97.9148987645161,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288283110979,0.5,0.9629629629629629,0.9398148148148148,30.0,1.0,0.5
3,baseline,hot_block,10.0,0.6,58.246442712209486,0.75,0.9473684210526315,0.7302631578947368,31.0,97.91807279829138,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288578959167,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.6,60.49259825164288,0.75,0.8421052631578947,0.7302631578947367,31.0,97.91489876458935,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831109275,0.5,0.9629629629629629,0.9398148148148148,30.0,1.0,1.0
3,baseline,stripe,10.0,0.3,57.460141096862024,0.75,0.9473684210526315,0.736842105263158,33.0,97.91489876420654,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288283110903,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,stripe,10.0,0.3,57.46014109699857,0.75,0.9473684210526315,0.736842105263158,33.0,97.91489876458414,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288283111163,0.5,0.9629629629629629,0.9398148148148148,30.0,0.0,0.0
3,baseline,stripe,10.0,0.6,60.051669114544694,0.625,0.8947368421052632,0.7236842105263157,31.0,97.91489938717393,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831112268,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,stripe,10.0,0.6,60.05166911446466,0.625,0.8947368421052632,0.7236842105263157,31.0,97.91489731526802,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831109625,0.5,0.9629629629629629,0.9398148148148148,30.0,0.0,0.0
4,clean,none,0.0,0.0,59.71268987798058,0.2857142857142857,0.8,0.85,31.0,84.31798771026257,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274006995,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,baseline,hot_block,10.0,0.3,74.1548339162392,0.0,0.4,0.8785714285714286,29.0,84.31823429546135,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274008048,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,rftl_s,hot_block,10.0,0.3,74.15483391621801,0.0,0.4,0.8785714285714286,29.0,84.31798771026274,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274006932,0.5,0.8518518518518519,0.912037037037037,31.0,0.0,0.0
4,baseline,hot_block,10.0,0.6,414.05833051096954,0.0,0.0,0.8928571428571428,,100.79590115365197,0.14285714285714285,0.84,0.9028571428571428,34.0,139.13807609355786,0.25,0.8518518518518519,0.8935185185185186,31.0,,
4,rftl_s,hot_block,10.0,0.6,900.3259938243148,0.0,0.0,0.9214285714285714,,153.20279968815748,0.0,0.4,0.8685714285714285,34.0,203.08663161725343,0.0,0.4074074074074074,0.8796296296296297,30.0,1.0,1.0
4,baseline,stripe,10.0,0.3,59.01417119353405,0.42857142857142855,0.95,0.9071428571428571,32.0,84.31798771025795,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274009364,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,rftl_s,stripe,10.0,0.3,59.01417119351764,0.42857142857142855,0.95,0.9071428571428571,32.0,84.3179877102468,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274009732,0.5,0.8518518518518519,0.912037037037037,31.0,0.0,0.0
