method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
oracle,hot_block,0.3,,30,"[2, 2, 3]",0.172684838585848,0.06932566165032722,0.03511094108414636,0.1792389411086214,0.33615969036169147,0.1821849719499764,0.06126744917179784,0.062427956737157834,0.12062737622405448,0.060938313596704284,
oracle,hot_block,0.3,,31,"[4, 4, 5]",0.22060101376322888,0.0571282567882657,0.026178930027884587,0.11023123186727125,0.526891740873779,0.07262563598372815,0.06387043521299449,0.051655621365007384,0.07104086520291297,0.0533845250911469,
oracle,hot_block,0.3,,32,"[2, 2, 3]",0.11137473251448533,0.09872559374270497,0.04301922898902483,0.16113295098573402,0.0796776087041309,0.06192340669766051,0.11402180655700508,0.09450146596816125,0.14042478228232003,0.15893966766509843,
oracle,hot_block,0.3,,33,"[5, 5, 6]",0.16066718924019818,0.1304697835339044,0.05127162323444143,0.2194570065733543,0.14485450382741483,0.08410110945124322,0.14633360758643515,0.16112921588067758,0.1908134563067447,0.13140491558233283,
oracle,hot_block,0.3,,34,"[3, 3, 4]",0.09647176676833266,0.0804229924007479,0.031867221681811435,0.1386732040638444,0.09275216371153318,0.08897372120322014,0.09831428678253638,0.051712609615288896,0.09834884981092847,0.08789045056998876,
oracle,hot_block,0.3,,35,"[3, 3, 4]",0.10813354538208313,0.07907099453932466,0.04914064973555345,0.140459460535159,0.15771068022004972,0.09292695850515362,0.06696870178818229,0.0617643051497678,0.09972125413801732,0.12669726862718228,
oracle,hot_block,0.3,,36,"[4, 4, 5]",0.0841687913668617,0.050662566334867834,0.021220717330290403,0.09061122950721365,0.14770203279469793,0.0667882918044953,0.04054248360064498,0.03091398370863057,0.06426185770524218,0.05178033449788057,
oracle,hot_block,0.3,,37,"[3, 3, 4]",0.22567111484298658,0.06891091242705534,0.02946568461013395,0.13227615571888854,0.5233552166221049,0.0897767354031356,0.0707958829127554,0.052841099069108076,0.08286224499409947,0.06891091242705534,
oracle,hot_block,0.3,,38,"[4, 4, 5]",0.32811795230941326,0.08367901478019184,0.03117533438119643,0.15773082993796841,0.8071322945482408,0.14282185138718695,0.09637368882253437,0.08036485877027402,0.08084787355746463,0.07867226770584526,
oracle,hot_block,0.3,,39,"[3, 3, 4]",0.7387129904292793,0.08042836931936799,0.0390516838701464,0.15390103956,2.0597124901053783,0.12490884969212701,0.06281238144699622,0.05973547379238483,0.0936140997354635,0.052420799158821765,
oracle,hot_block,0.3,,40,"[3, 3, 4]",0.15438175872599363,0.07392388452333531,0.02985326333068673,0.11901650627921531,0.34549854996921137,0.17820128369309346,0.05465199397868233,0.0372914265690749,0.06299473223008722,0.05176804605474318,
oracle,hot_block,0.3,,41,"[3, 3, 4]",0.201043825913739,0.07227169481620438,0.038802911396931136,0.11525782817845062,0.4682297195741505,0.09121454500052256,0.05811520979035665,0.041616960006195136,0.07678654837671009,0.07189881522399424,
oracle,hot_block,0.3,,42,"[4, 4, 5]",0.09898583614185595,0.0622408305823782,0.02621502693976315,0.11629944483217537,0.16270604555600543,0.08861744858982429,0.07203045602038208,0.0686580329618481,0.06222100684918047,0.04200168332764614,
oracle,hot_block,0.3,,43,"[3, 3, 4]",0.07231002955307046,0.06125290796462962,0.02413857940711295,0.11458043918346815,0.07823683231940202,0.0775649932104691,0.05025899779061096,0.04906987649748042,0.08843425854919841,0.09181306766907779,
oracle,hot_block,0.3,,44,"[2, 2, 3]",0.08387627053429117,0.06474050815341015,0.027944302493813005,0.09765640747261642,0.10260172372741308,0.06928078119431785,0.10289241180211242,0.07344016905957107,0.04613467607334799,0.029133396093056898,
oracle,hot_block,0.3,,45,"[4, 4, 5]",0.05923962246204342,0.043946137998994855,0.019849909199302906,0.07760592597251308,0.06370221548072388,0.0397274161750078,0.04913834044966397,0.04269269740850295,0.06487831145574241,0.04462276723626661,
oracle,hot_block,0.3,,46,"[2, 2, 3]",0.4418142326679268,0.07208014743489652,0.03697024990089705,0.12240995281421636,1.1768271454174175,0.1697495673062082,0.08188696248873634,0.0688693796015783,0.06672859009762669,0.06254417100801195,
oracle,hot_block,0.3,,47,"[3, 3, 4]",0.16006781322332744,0.0615465179778217,0.031042360390741666,0.11517615214715198,0.3456565269527389,0.0630777183075428,0.0636611924183953,0.06492125408387267,0.07088572029884818,0.05462761286104445,
oracle,hot_block,0.3,,48,"[4, 4, 5]",0.0663838871872903,0.05160698425701155,0.022577123125943576,0.09869397225600407,0.08438910080430138,0.04721046356669348,0.07014011813988416,0.0736140250870731,0.044622442617685346,0.03505468824759876,
oracle,hot_block,0.3,,49,"[3, 3, 4]",0.05696256903737252,0.04457522262248701,0.019865447111790648,0.08407141998936334,0.06835278907913003,0.04545356933281049,0.050938705831268194,0.043219379781312045,0.05159621220171937,0.044640992595132614,
baseline,hot_block,0.3,,0,"[3, 3, 4]",0.0669158997277814,0.05674472256226171,0.016044165838768415,0.09598261844638015,0.0460075611629311,0.04015823209886953,0.06193133195268674,0.029189831043760696,0.09280880606772636,0.07791757569592792,
baseline,hot_block,0.3,,1,"[4, 4, 5]",0.07700743306429196,0.06033380559584823,0.02199145235921071,0.11172464153303557,0.04935594236167583,0.044057013247589885,0.07679087970855056,0.08305006892262956,0.10487547712264955,0.08463472994079393,
baseline,hot_block,0.3,,2,"[3, 3, 4]",0.07537861333185938,0.06462381882864202,0.017040673698598765,0.10771966046498954,0.07963275527783761,0.07662651004483165,0.08691895794852232,0.08132583923346118,0.05958412676921819,0.05562131205687658,
baseline,hot_block,0.3,,3,"[2, 2, 3]",0.06920339619873395,0.059588715868935965,0.026620088723433997,0.10101214124498957,0.08691541512836265,0.08642243555748771,0.07216977176502663,0.05150740739987329,0.04852500170281255,0.044776399686146454,
baseline,hot_block,0.3,,4,"[2, 2, 3]",0.07020581366459212,0.06527109723852145,0.04066647427544339,0.08306488057308503,0.045426422735563673,0.03479047224968052,0.09832373690960189,0.08145627251905346,0.06686728134861078,0.06315987057151128,
baseline,hot_block,0.3,,5,"[3, 3, 4]",0.0725153813407308,0.059113589648375126,0.031078662977570212,0.09910061975679058,0.06445919390871968,0.060012326637334565,0.06570952421238463,0.05853382470792645,0.08737742590108806,0.06509574294084254,
baseline,hot_block,0.3,,6,"[3, 3, 4]",0.06396579260530427,0.05374023624233909,0.030502795769177547,0.08238548733214515,0.057657944503867575,0.04392783713914694,0.06483589666927961,0.05572289170713812,0.06940353664276568,0.06690309034275381,
baseline,hot_block,0.3,,7,"[3, 3, 4]",0.05959871645741862,0.04421445757393844,0.026999436441708765,0.07991247699977255,0.05874942092871362,0.0469744155688953,0.08079131583864718,0.0760558882467853,0.03925541260489508,0.034477523015294324,
baseline,hot_block,0.3,,8,"[4, 4, 5]",0.07260367667515935,0.06434525978050001,0.0290198790424315,0.09729940423135176,0.08481970396015157,0.07488085612056976,0.06236104946055745,0.0565695768632776,0.070630276604769,0.06863919592679732,
baseline,hot_block,0.3,,9,"[3, 3, 4]",0.04455726703801677,0.03699631409750215,0.011103399586871343,0.060731652091738766,0.047679255655903155,0.033419562504749034,0.035037562306525924,0.021278388097934864,0.050954983151621225,0.052924358877609656,
baseline,hot_block,0.3,,10,"[3, 3, 4]",0.09558675823160663,0.0695604335318218,0.022114277729830333,0.142332802058601,0.08281556064955761,0.054047588627339604,0.13924408628091478,0.11006494846507833,0.06470062776434748,0.05943109860295549,
baseline,hot_block,0.3,,11,"[2, 2, 3]",0.07450370461922264,0.0532063329965836,0.023691287153131336,0.09941670791434713,0.04503178320937394,0.03273467089132644,0.062187657819672684,0.05365859405489538,0.11629167282862125,0.10007566106905239,
baseline,hot_block,0.3,,12,"[4, 4, 5]",0.06228030159213429,0.048550170805491746,0.026186799572053745,0.08622227304664956,0.05679739402727324,0.043259725396522994,0.06798633267138218,0.048466566898203944,0.062057178077747466,0.0677246058081215,
baseline,hot_block,0.3,,13,"[3, 3, 4]",0.06631526388788325,0.054483324031491615,0.02598084801006763,0.10206478545581037,0.06033135982822663,0.0486126517896417,0.0737631237748354,0.07501594020308552,0.06485130806058774,0.056230512939541163,
